Time,Driver,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Compound,TyreLife,TrackStatus
0 days 02:33:42.055000,VER,0 days 00:01:13.948000,68,5,,,SOFT,15,1
0 days 02:34:56.082000,VER,0 days 00:01:14.027000,69,5,,,SOFT,16,1
0 days 02:36:10.312000,VER,0 days 00:01:14.230000,70,5,,,SOFT,17,1
0 days 02:37:24.664000,VER,0 days 00:01:14.352000,71,5,,,SOFT,18,1
0 days 02:38:39.725000,VER,0 days 00:01:15.061000,72,5,,,SOFT,19,1
0 days 01:03:24.795000,GAS,0 days 00:01:27.863000,1,1,0 days 00:22:33.689000,,SOFT,4,1
0 days 01:04:43.729000,GAS,0 days 00:01:18.934000,2,1,,,SOFT,5,2
0 days 01:06:01.868000,GAS,0 days 00:01:18.139000,3,1,,,SOFT,6,1
0 days 01:07:19.792000,GAS,0 days 00:01:17.924000,4,1,,,SOFT,7,2
0 days 01:08:37.794000,GAS,0 days 00:01:18.002000,5,1,,,SOFT,8,1
0 days 01:09:55.745000,GAS,0 days 00:01:17.951000,6,1,,,SOFT,9,1
0 days 01:11:14.024000,GAS,0 days 00:01:18.279000,7,1,,,SOFT,10,1
0 days 01:12:32.207000,GAS,0 days 00:01:18.183000,8,1,,,SOFT,11,1
0 days 01:13:50.915000,GAS,0 days 00:01:18.708000,9,1,,,SOFT,12,1
0 days 01:15:10.381000,GAS,0 days 00:01:19.466000,10,1,,,SOFT,13,1
0 days 01:16:32.804000,GAS,0 days 00:01:22.423000,11,1,,0 days 01:16:31.178000,SOFT,14,1
0 days 01:18:08.863000,GAS,0 days 00:01:36.059000,12,2,0 days 01:16:49.973000,,MEDIUM,2,1
0 days 01:19:26.144000,GAS,0 days 00:01:17.281000,13,2,,,MEDIUM,3,1
0 days 01:20:43.982000,GAS,0 days 00:01:17.838000,14,2,,,MEDIUM,4,1
0 days 01:22:01.309000,GAS,0 days 00:01:17.327000,15,2,,,MEDIUM,5,1
0 days 01:23:18.624000,GAS,0 days 00:01:17.315000,16,2,,,MEDIUM,6,1
0 days 01:24:35.854000,GAS,0 days 00:01:17.230000,17,2,,,MEDIUM,7,1
0 days 01:25:53.342000,GAS,0 days 00:01:17.488000,18,2,,,MEDIUM,8,1
0 days 01:27:11.222000,GAS,0 days 00:01:17.880000,19,2,,,MEDIUM,9,1
